"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Switzerland","CHE","Urban population","SP.URB.TOTL","2718204","2807954","2915607","3014876","3102042","3175203","3246083","3324422","3404837","3481909","3545846","3578731","3602554","3625652","3641615","3636410","3612091","3596286","3593029","3596663","3607371","3692988","3830823","3962180","4089876","4219325","4350934","4485819","4624403","4764772","4914685","5017092","5069206","5112044","5149461","5180397","5199719","5208645","5220447","5241761","5267636","5301074","5344095","5386680","5426645","5464346","5501590","5553847","5627771","5701396","5764063","5831516","5896805","5968886","6046826","6121685","6195433","6271371",
"Channel Islands","CHI","Urban population","SP.URB.TOTL","42346","42433","42545","42684","42831","42991","43148","43306","43458","43605","43738","43828","43752","43640","43467","43212","42871","42463","42029","41626","41296","41157","41450","41801","42188","42594","43021","43349","43670","43948","44159","44257","44208","44118","44027","43966","44028","44321","44635","44969","45309","45679","46111","46553","46994","47435","47874","48311","48738","49154","49556","49940","50326","50715","51112","51526","51957","52401",
"Chile","CHL","Urban population","SP.URB.TOTL","5234650","5417381","5601416","5789685","5982101","6178100","6378021","6581183","6786313","6991199","7194609","7394942","7593535","7790200","7985511","8179998","8373542","8566301","8759492","8954618","9153020","9354703","9551237","9716331","9887209","10064453","10248469","10438657","10633284","10830038","11026856","11223072","11424062","11647003","11868191","12087071","12303000","12515885","12725607","12932708","13137110","13338739","13537567","13733278","13927058","14119477","14310662","14500481","14688335","14873019","15053733","15230466","15403251","15572614","15738985","15902928","16064512","16223435",
"China","CHN","Urban population","SP.URB.TOTL","108085352","110327936","114685540","121162226","127791981","129348359","131746910","134196718","136747486","139527262","142386810","145443877","148131235","151552570","155688522","159452730","162497601","165293316","171153535","180399661","189947471","199949784","210823843","220472140","230206255","240414890","251325056","262976051","275121076","287504237","300165618","314301034","328521540","342961393","357836540","373035157","388593258","404485562","420606126","436766058","452999147","471767321","491993700","512473984","533257098","554367818","575118254","595670841","616481190","637407288","658498663","679766865","700862129","721691798","742299307","762590291","782778414","802764297",
"Cote d'Ivoire","CIV","Urban population","SP.URB.TOTL","629193","698611","776280","862340","956623","1058839","1131045","1207206","1288770","1377865","1476416","1585392","1705063","1835010","1974879","2129889","2325707","2535857","2761273","2905057","3054478","3209513","3369971","3535010","3703735","3875372","4049189","4225595","4410678","4614463","4826748","5047907","5276791","5511893","5751043","5992272","6236074","6481754","6725837","6990518","7265496","7530895","7789404","8046405","8310456","8587991","8882232","9212020","9560642","9928310","10314301","10720339","11146455","11590744","12049541","12520170","13001714","13494519",
"Cameroon","CMR","Urban population","SP.URB.TOTL","721416","765724","813120","863766","917809","975298","1036625","1102048","1171813","1245992","1325110","1445641","1576284","1717421","1870202","2035263","2199443","2325390","2459014","2600711","2751065","2910165","3078469","3256259","3443890","3641324","3849128","4058273","4248463","4444468","4645904","4852634","5064953","5282049","5504091","5730749","5962015","6198081","6440913","6693011","6956192","7230870","7517754","7817313","8130183","8456228","8796382","9150050","9517221","9896604","10288000","10690948","11105567","11531668","11969294","12417641","12877022","13347173",
"Congo, Dem. Rep.","COD","Urban population","SP.URB.TOTL","3400360","3522087","3649227","3782293","3922386","4070458","4227193","4392209","4564512","4742135","4924045","5109255","5298832","5494101","5698346","5913608","6141379","6381228","6629703","6882261","7135492","7389075","7645273","7907917","8183134","8520667","8877409","9254003","9660247","10107232","10603485","11157659","11766277","12405780","13044652","13659210","14237886","14789168","15335013","15908019","16534169","17222093","17968282","18770723","19622660","20519758","21464292","22460384","23510087","24612409","25768656","26980313","28246770","29568340","30945908","32378991","33868356","35412991",
"Congo, Rep.","COG","Urban population","SP.URB.TOTL","327772","343899","360948","378922","397859","417744","438638","460577","483707","508128","534037","561518","590578","621069","653437","687914","723593","760471","798779","838735","880538","924242","969880","1017301","1066329","1111143","1151831","1193487","1236224","1280248","1325754","1372830","1421544","1472040","1524489","1579144","1636319","1697466","1760969","1826324","1893340","1961498","2031259","2104173","2182480","2267682","2360787","2461018","2565603","2670736","2773618","2873075","2969986","3066121","3164121","3266155","3372688","3483248",
"Colombia","COL","Urban population","SP.URB.TOTL","7421611","7867397","8334981","8824177","9335584","9767765","10212562","10672610","11143651","11618650","12093958","12566385","13037900","13512223","13994899","14492484","15007917","15539190","16087080","16651221","17231061","17826365","18437763","19062083","19695992","20335604","20950824","21557416","22167803","22781233","23399254","24021338","24646078","25271466","25849755","26402585","26950895","27494664","28035484","28577102","29121153","29667772","30216134","30764326","31309976","31850002","32384078","32912176","33433690","33948141","34455103","34953950","35443802","35925274","36398797","36864087","37321065","37769729",
"Comoros","COM","Urban population","SP.URB.TOTL","23988","25914","27980","30204","32609","35216","38066","39596","41214","42891","44607","46342","48122","50024","52169","54646","57512","60737","64235","67848","71463","75111","78778","82505","86387","90501","94871","99486","104335","109411","114707","120236","124104","127549","131037","134541","138071","141616","145174","148733","152294","155849","159409","162990","166645","170479","174491","178698","183104","187716","192548","197599","202893","208391","214093","219980","226046","232299",
"Cabo Verde","CPV","Urban population","SP.URB.TOTL","33743","34905","36320","37965","39815","41826","44029","46409","48808","51008","52848","54325","55475","56373","57266","58350","59689","61245","63028","65012","67416","72886","78885","85347","92176","99247","108494","118115","128249","139115","150839","157624","165084","173075","181365","189769","198206","206688","215222","223821","232484","240898","249318","257669","265848","273773","281405","288764","295988","303227","310639","318172","325806","333528","341342","349197","357119","365113",
"Costa Rica","CRI","Urban population","SP.URB.TOTL","456620","474398","492867","513730","540992","568941","597591","626924","656840","687171","717859","748808","780143","811369","838729","867257","897131","928260","960759","994596","1029769","1066319","1104347","1143609","1184720","1240754","1298341","1357493","1418570","1481945","1548059","1616913","1688345","1762079","1837917","1915526","1994927","2075768","2157273","2238186","2317935","2414346","2509069","2602539","2695824","2789515","2883962","2978754","3073503","3167502","3260511","3352181","3441258","3527730","3611713","3693440","3772888","3849998",
"Caribbean small states","CSS","Urban population","SP.URB.TOTL","1326398","1360978","1396811","1433507","1470242","1505978","1541252","1576115","1610634","1644819","1678926","1712979","1751488","1794502","1837394","1880359","1923382","1966370","2009962","2054696","2100202","2135465","2172691","2203179","2232379","2259100","2282739","2303854","2323832","2344707","2368991","2401386","2435468","2471204","2507294","2542878","2577683","2611986","2645940","2679780","2712768","2738997","2762269","2785105","2807945","2830059","2852036","2873899","2895641","2917322","2939127","2962276","2985895","3009978","3034474","3059327","3084434","3109822",
